rank,greek,meaning,hint
131,σπείρω,種を蒔く,
132,ναός,神殿、聖所,
133,ἱερόν,神殿境内,ἱερός（聖なる）
134,ἑορτή,祭り,
135,πάσχα,過越祭,パスハ
136,σάββατον,安息日,Sabbath
137,συναγωγή,会堂、集会,synagogue（シナゴーグ）
138,ἀρχιερεύς,大祭司,ἀρχή + ἱερεύς
139,ἱερεύς,祭司,ἱερός
140,Φαρισαῖος,ファリサイ派の人,Pharisee
141,ὄχλος,群衆,
142,πόλις,町、都市,metropolis（大都市）
143,κώμη,村,
144,θάλασσα,海、湖,thalasso-（海）
145,πλοῖον,舟、船,
146,λίθος,石,lithograph（石版画）
147,πέτρα,岩、岩盤,petroleum（石油）
148,μνημεῖον,墓、記念物,mnemonic（記憶術）
149,ἄρωμα,香料、香油,アロマ
150,νίπτω,洗う,ἔνιψα
151,πρός,〜へ、〜に対して、〜と共に,pro-（前へ）
152,διά,〜を通して、〜のゆえに,diameter / dialogue
153,μετά,〜と共に、〜の後で,meta-（後・超・変化）
154,οὐδείς,誰も〜ない、何も〜ない,οὐ + εἷς
155,εἷς,一つ、一人,
156,παρά,〜のそばに、〜から,para-（傍ら）
157,ἄλλος,ほかの、別の,
158,ὑπάγω,立ち去る、行く,ὑπό + ἄγω
159,καθώς,〜のように、〜のとおりに,κατά + ὡς
160,ἐξέρχομαι,出て行く,ἐκ + ἔρχομαι；Exodus（脱出）
161,αἴρω,持ち上げる、取り去る,
162,γράφω,書く,graphic / graph
163,γυνή,女、妻,gynecology（婦人科学）
164,ὅτε,〜するとき,
165,πῶς,どのように,
166,τίθημι,置く、定める,ἔθηκα；thesis（置かれた命題）
167,ὀφθαλμός,目,ophthalmology（眼科学）
168,ζάω,生きる,ζωή
169,αἰώνιος,永遠の、時代に属する,αἰών
170,τόπος,場所,topology（位相幾何学）
171,παραδίδωμι,引き渡す、伝える,παρά + δίδωμι
172,πληρόω,満たす、成就する,πλήρης（満ちた）
173,χείρ,手,chiropractic（カイロプラクティック）
174,φωνή,声、音,phone（電話・音声）
175,Χριστός,キリスト、油注がれた者,Christ
176,εἰσέρχομαι,入る,εἰς + ἔρχομαι
177,ἐσθίω,食べる,
178,ἀλλήλων,互いに,ἄλλος
179,πούς,足,podiatry / tripod
180,οὕτως,このように、こうして,οὗτος
181,τυφλός,盲目の,
182,πρῶτος,第一の、最初の,proto-（第一・原初）
183,αἰών,時代、永遠,eon（非常に長い時代）
184,ἔξω,外に,Exodus（脱出） / exo-
185,δέω,縛る,
186,φιλέω,愛する、好む,philosophy（知を愛する）
187,βαπτίζω,洗礼を授ける、浸す,baptize（洗礼を授ける）
188,ὑπέρ,〜のために、〜を越えて,hyper-（超・過度）
189,φωνέω,呼ぶ、声を出す,φωνή / phone
190,πόθεν,どこから,ποῦ（どこ）系
191,γραφή,書かれたもの、聖書,γράφω / graphic
192,μέλλω,〜しようとしている,
193,σταυρόω,十字架につける,σταυρός（十字架）
194,ἀποκτείνω,殺す,ἀπό + κτείνω
195,ῥῆμα,言葉、発言,rhema（レーマ）
196,ἐγγύς,近い、近くに,
197,πίνω,飲む,ἔπιον
198,ἄρχω,始める、支配する,ἀρχή / arch-
199,προσκυνέω,礼拝する、ひれ伏す,πρός + κυνέω
200,διδάσκω,教える,didactic（教訓的な）
201,ἤδη,すでに、今すぐ,Edetachy の Ede
202,ταχύ,速く、すぐに,Edetachy の tachy；tachycardia（頻脈）
